tmstamp,value,tag_id,topic,date
2025-01-03 06:10:00,2.8837209,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 06:15:00,1.1627907,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 06:20:00,293.46512,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 06:25:00,697.3953,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 06:30:00,238.51163,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 06:35:00,24.11628,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 06:40:00,815.6047,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 06:45:00,6201.372,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 06:50:00,7359.0,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 06:55:00,7337.628,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 07:00:00,8021.256,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 07:05:00,8085.1904,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 07:10:00,8534.675,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 07:15:00,8303.651,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 07:20:00,8289.837,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 07:25:00,9224.256,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 07:30:00,10430.441,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 07:35:00,12639.744,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 07:40:00,12965.929,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 07:45:00,12981.559,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 07:50:00,12789.651,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 07:55:00,13994.581,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 08:00:00,13297.744,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 08:05:00,13084.404,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 08:10:00,11555.404,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 08:15:00,11853.69,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 08:20:00,12910.209,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 08:25:00,14231.596,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 08:30:00,13662.86,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 08:35:00,15736.86,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 08:40:00,20150.117,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 08:45:00,21137.326,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 08:50:00,19487.738,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 08:55:00,17591.162,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 09:00:00,15973.721,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 09:05:00,16810.883,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 09:10:00,14923.3955,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 09:15:00,14734.837,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 09:20:00,16833.326,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 09:25:00,23045.303,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 09:30:00,30174.094,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 09:35:00,27858.395,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 09:40:00,30779.93,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 09:45:00,28692.0,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 09:50:00,29162.441,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 09:55:00,33863.723,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 10:00:00,26606.047,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 10:05:00,20077.326,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 10:10:00,18553.094,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 10:15:00,16585.232,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 10:20:00,15253.069,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 10:25:00,12747.232,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 10:30:00,11866.093,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 10:35:00,12270.86,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 10:40:00,12882.279,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 10:45:00,12437.651,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 10:50:00,11619.581,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 10:55:00,11515.163,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 11:00:00,11728.837,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 11:05:00,11011.0,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 11:10:00,10610.837,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 11:15:00,10840.488,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 11:20:00,11040.303,12223,P0086H01/I002/Ptot,2025-01-03
2025-01-03 11:25:00,10502.744,12223,P0086H01/I002/Ptot,2025-01-03
