time,temp_c,cloud,date,user_object_id
2025-02-04 17:45:00,3.4,45.0,2025-02-04,70
2025-02-04 18:00:00,2.4,26.0,2025-02-04,70
2025-02-04 18:15:00,2.4,26.0,2025-02-04,70
2025-02-04 18:30:00,2.4,26.0,2025-02-04,70
2025-02-04 18:45:00,2.2,47.0,2025-02-04,70
2025-02-04 19:00:00,1.9,5.0,2025-02-04,70
2025-02-04 19:15:00,1.9,5.0,2025-02-04,70
2025-02-04 19:30:00,1.9,5.0,2025-02-04,70
2025-02-04 19:45:00,1.9,5.0,2025-02-04,70
2025-02-04 20:00:00,1.5,4.0,2025-02-04,70
2025-02-04 20:15:00,1.5,4.0,2025-02-04,70
2025-02-04 20:30:00,1.5,4.0,2025-02-04,70
2025-02-04 20:45:00,1.5,4.0,2025-02-04,70
2025-02-04 21:00:00,1.2,8.0,2025-02-04,70
2025-02-04 21:15:00,1.2,8.0,2025-02-04,70
2025-02-04 21:30:00,1.2,8.0,2025-02-04,70
2025-02-04 21:45:00,1.2,8.0,2025-02-04,70
2025-02-04 22:00:00,0.9,18.0,2025-02-04,70
2025-02-04 22:15:00,0.9,18.0,2025-02-04,70
2025-02-04 22:30:00,0.9,18.0,2025-02-04,70
2025-02-04 22:45:00,0.9,18.0,2025-02-04,70
2025-02-04 23:00:00,0.7,39.0,2025-02-04,70
2025-02-04 23:15:00,0.7,39.0,2025-02-04,70
2025-02-04 23:30:00,0.7,39.0,2025-02-04,70
2025-02-04 23:45:00,0.7,39.0,2025-02-04,70
2025-02-05 03:00:00,-0.5,73.0,2025-02-05,70
2025-02-05 03:15:00,-0.5,73.0,2025-02-05,70
2025-02-05 03:30:00,-0.5,73.0,2025-02-05,70
2025-02-05 03:45:00,-0.5,73.0,2025-02-05,70
2025-02-05 04:00:00,-0.7,69.0,2025-02-05,70
2025-02-05 04:15:00,-0.7,69.0,2025-02-05,70
2025-02-05 04:30:00,-0.7,69.0,2025-02-05,70
2025-02-05 04:45:00,-0.7,69.0,2025-02-05,70
2025-02-05 05:00:00,-0.9,69.0,2025-02-05,70
2025-02-05 05:15:00,-0.9,69.0,2025-02-05,70
2025-02-05 05:30:00,-0.9,69.0,2025-02-05,70
2025-02-05 05:45:00,-0.9,69.0,2025-02-05,70
